192.168.0.2,54.167.184.129,6,TCP 192.168.0.2:55621 > 54.167.184.129:4318 FA
52.178.17.233,192.168.0.2,6,TCP 52.178.17.233:https > 192.168.0.2:55620 A / Padding
54.167.184.129,192.168.0.2,6,TCP 54.167.184.129:4318 > 192.168.0.2:55621 FA
192.168.0.2,54.167.184.129,6,TCP 192.168.0.2:55621 > 54.167.184.129:4318 A
192.168.0.2,104.26.5.62,6,TCP 192.168.0.2:55562 > 104.26.5.62:https A
104.26.5.62,192.168.0.2,6,TCP 104.26.5.62:https > 192.168.0.2:55562 A
52.178.17.233,192.168.0.2,6,TCP 52.178.17.233:https > 192.168.0.2:55620 FPA / Raw
192.168.0.2,52.178.17.233,6,TCP 192.168.0.2:55620 > 52.178.17.233:https A
192.168.0.2,52.178.17.233,6,TCP 192.168.0.2:55620 > 52.178.17.233:https PA / Raw
192.168.0.2,52.178.17.233,6,TCP 192.168.0.2:55620 > 52.178.17.233:https FA
52.178.17.233,192.168.0.2,6,TCP 52.178.17.233:https > 192.168.0.2:55620 A / Padding
192.168.0.2,146.75.124.223,6,TCP 192.168.0.2:55557 > 146.75.124.223:https A
146.75.124.223,192.168.0.2,6,TCP 146.75.124.223:https > 192.168.0.2:55557 A
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
142.250.217.238,192.168.0.2,17,UDP 142.250.217.238:https > 192.168.0.2:63717 / Raw
142.250.217.238,192.168.0.2,17,UDP 142.250.217.238:https > 192.168.0.2:63717 / Raw
192.168.0.2,142.250.217.238,17,UDP 192.168.0.2:63717 > 142.250.217.238:https / Raw
142.250.217.206,192.168.0.2,17,UDP 142.250.217.206:https > 192.168.0.2:63205 / Raw
142.250.217.206,192.168.0.2,17,UDP 142.250.217.206:https > 192.168.0.2:63205 / Raw
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
192.168.0.2,142.250.217.206,17,UDP 192.168.0.2:63205 > 142.250.217.206:https / Raw
